month,cm24,cm5,csa,csd,hdm24,hdm5,hdsa,hdsd,hhm24,hhm5,hhsa,hhsd,mm24,mm5,msa,msd,mdm24,mdm5,mdsa,mdsd,mhm24,mhm5,mhsa,mhsd,vcm24,vcm5,vcsa,vcsd
1,965.3909105731086,1071.3975574298004,909.2598958138063,1223.8534595696833,522.3094356245294,450.613146536745,618.2358614974734,867.1076174280711,885.304567563521,695.2504299654872,1067.0519938303817,1536.997745569449,842.1795945223315,651.1925056134542,805.4262371712464,1159.7092427091586,746.9211124077699,638.3179266642196,710.6538827755546,1142.7699784965378,1047.9130684648385,938.9421593092387,1249.1775472613153,1846.756748775608,1627.5371114638392,1616.642357888695,1500.5069761853483,1604.5183992866796
2,800.0124217478816,871.6134387169849,762.918941885353,1031.7267305262278,446.462338704352,395.43219317959773,536.3097621927835,728.5780024751444,719.8679194462246,594.9641999861881,876.074147110967,1209.6598770887358,699.429056080401,547.8109441479558,686.8268630734095,984.7604964599817,598.4634267176037,525.400083876039,592.2136859150478,924.1934350183753,846.8369680949596,762.6495529271849,1014.5752919794942,1476.307333021406,1296.4009708750145,1293.0372651637756,1261.7383201557082,1307.9393762055786
3,671.8883950932019,700.1756106042828,674.8348209228556,901.6799487339744,449.2962899480976,409.76570059838605,545.4009968272588,719.4280751776603,690.3862914684443,595.5149347866471,849.6091902577432,1124.5399464933018,646.548929397653,524.1971215145456,652.9485233770229,935.1801537810538,570.2484061572924,510.1259201877124,588.7978206205476,883.7161197460463,690.8071570748627,630.9818717158605,848.6955680213661,1183.1496210802902,1081.6926178464687,1004.7726420772531,1008.0253956721355,1146.0147516322058
4,487.60663268280496,489.98688840673367,533.7518134614428,696.4576716326725,424.88099457986743,392.2603152854896,523.9122642909863,711.2807469137116,610.7270696571807,546.9703671705198,751.0116125663137,1016.2946012578844,512.6156838274645,433.2666865744115,546.4552309595031,753.7470728489706,432.82087344133754,409.22201857424545,493.82238124083125,694.066188793163,525.3990585862696,486.54649367725216,625.3426304216675,883.8917374788649,566.2573009729311,535.6954382828588,598.0428252764369,702.7121250419714
5,434.5653956096557,421.56642596811196,521.6640913267822,669.0823243031704,466.8635460399424,419.87231691090847,584.7759565336856,854.4396779488582,733.3595474364738,636.9237097567171,914.4677910969234,1319.3386817518556,456.4016925099701,403.6363903216448,510.6952956183747,691.086248377856,424.82115068659385,410.00975272971476,513.5956164765395,702.0769587605008,548.2461076613743,498.46077234415947,652.6624213237916,950.7104434718747,435.08527760192663,407.96813405575415,478.7607522855794,607.1021905600069
6,476.8192195657385,437.431860964224,590.9751065886398,776.1730544896026,510.0717678385504,440.0803013246758,659.8894498490345,1055.8338675739797,779.1622202638613,654.2169843178142,982.9415307074005,1503.8032287415404,390.4996787975409,357.7918437151549,454.56278886224555,614.442971138904,479.66861646839067,432.81608867480963,610.4392324459561,861.7809393731281,646.6215260888514,549.2003311718723,784.1725062249147,1186.6489968408523,389.6907885853426,359.24104460291306,432.4669514504146,565.3465681303716
7,560.4313317280281,489.71395359967534,684.6003182588,928.8573774447834,575.6728345934312,486.6345514816954,761.4581523424874,1245.7559199796794,871.6044146607123,724.1312620631206,1117.9694175629588,1755.8392432109943,395.2399379384261,364.2760749161686,467.1835594536059,642.9971426001961,542.413518079418,477.51779569279813,707.75205680816,1013.5453889167302,794.1610977827104,643.6103403849376,965.929568930721,1448.8027350849268,424.5720607854948,378.7050682502689,466.92918356752335,618.5290612880106
8,531.6306531626694,470.78895451999483,650.1541396456556,866.6893549929412,561.0533714775379,477.43048116029667,742.1226905484804,1193.0978274593954,854.799978611675,714.4421060547921,1096.617656763912,1708.6423103626273,397.85039060244765,367.10498610366494,476.3727063368579,653.6986148788179,513.853170136119,460.1538776209287,674.2830581130937,961.1873214887733,745.6143075157937,610.8621037633038,916.6551489121028,1375.9404378872591,403.51996641297455,368.4466015221008,455.28152636571167,596.4368937958271
9,437.5489475020136,408.642652805113,533.476493702601,687.7462172514932,502.6243418505876,440.8714403253962,652.8131336274798,1000.5324535417853,755.887223670565,645.8251783750712,967.3551148640304,1438.6206734189795,394.5816686541251,359.6606924838103,459.9201289649217,619.0970340175302,432.34248237746937,406.69890664629037,541.8034023631418,759.7516714910054,578.1564614515156,501.04442051801607,689.7852604014014,1033.0533916880765,385.85421382492,368.853366137073,441.1309229539296,554.2290308257789
10,460.23666689949664,458.8214076869007,521.7327477194009,675.625305190381,442.9833469242448,406.96610746308687,559.7828921952886,777.1918215473727,665.6856316428311,589.4712011359745,849.3199812229298,1152.8849687351158,493.8133275324735,423.4753651738843,529.9270374226666,735.6268862063382,427.77185664798446,408.97765788041244,498.928718069953,687.4282488210872,513.784909736649,475.27641095862145,614.1697267961404,870.5111431956948,592.960050676342,551.4134389019106,595.7840421169626,723.7432001532862
