,State,Nameplate Capacity,Net Generation,Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
0,AK,3043.8,6595817.773,0.114,0.137,0.467,0.0,0.0,0.256,0.006,0.02,0.0,0.0,0.0
1,AL,30231.8,142731860.61,0.188,0.0,0.381,0.0,0.323,0.081,0.023,0.0,0.003,0.0,0.0
2,AR,16479.7,61100068.005,0.351,0.001,0.338,0.0,0.222,0.067,0.014,0.0,0.008,0.0,0.0
3,AZ,31007.3,108500973.376,0.132,0.0,0.442,0.0,0.291,0.056,0.002,0.015,0.062,0.0,0.0
4,CA,86751.7,196943760.108,0.001,0.0,0.494,0.008,0.084,0.073,0.027,0.077,0.177,0.057,0.002
5,CO,20106.4,56832574.334,0.415,0.0,0.256,0.0,0.0,0.027,0.003,0.266,0.03,0.0,0.001
6,CT,11373.5,44079943.539,0.006,0.001,0.556,0.013,0.391,0.011,0.017,0.0,0.006,0.0,0.0
7,DC,52.3,184480.001,0.0,0.0,0.599,0.0,0.0,0.0,0.302,0.0,0.099,0.0,0.0
8,DE,3598.8,4305126.0,0.064,0.004,0.867,0.033,0.0,0.0,0.017,0.001,0.013,0.0,0.0
9,FL,71335.4,246185265.397,0.075,0.005,0.741,0.007,0.114,0.001,0.017,0.0,0.037,0.0,0.004
10,GA,41267.4,124199775.463,0.154,0.001,0.456,0.001,0.273,0.028,0.047,0.0,0.039,0.0,0.0
11,HI,3265.2,9180590.002,0.118,0.67,0.0,0.022,0.0,0.013,0.031,0.072,0.055,0.02,0.0
12,IA,23088.7,67198724.482,0.329,0.002,0.096,0.0,0.0,0.014,0.003,0.552,0.003,0.0,0.0
13,ID,5349.3,16834399.801,0.001,0.0,0.293,0.0,0.0,0.475,0.029,0.159,0.034,0.006,0.004
14,IL,50981.7,181296445.222,0.237,0.0,0.114,0.001,0.535,0.001,0.002,0.106,0.003,0.0,0.001
15,IN,31217.2,94126667.181,0.578,0.001,0.293,0.024,0.0,0.004,0.005,0.083,0.006,0.0,0.005
16,KS,19603.4,56573059.816,0.343,0.003,0.047,0.0,0.152,0.001,0.001,0.453,0.001,0.0,0.0
17,KY,20930.8,69904814.122,0.713,0.001,0.208,0.001,0.0,0.07,0.006,0.0,0.001,0.0,0.0
18,LA,29280.8,97167796.19,0.081,0.04,0.647,0.019,0.178,0.011,0.017,0.0,0.002,0.0,0.005
19,MA,15152.1,19429416.602,0.0,0.004,0.772,0.048,0.0,0.036,0.05,0.011,0.079,0.0,0.0
20,MD,15002.7,38166718.985,0.136,0.002,0.364,0.01,0.393,0.055,0.01,0.014,0.017,0.0,0.0
21,ME,5272.0,10900945.883,0.005,0.003,0.307,0.015,0.0,0.233,0.18,0.233,0.014,0.0,0.009
22,MI,32934.5,115299089.641,0.321,0.01,0.265,0.011,0.298,0.005,0.019,0.067,0.004,0.0,0.0
23,MN,20080.6,59157704.839,0.266,0.002,0.216,0.004,0.239,0.011,0.021,0.207,0.032,0.0,0.001
24,MO,24065.6,76941409.993,0.752,0.003,0.079,0.0,0.056,0.022,0.002,0.085,0.002,0.0,0.0
25,MS,16262.6,67723496.549,0.082,0.0,0.718,0.0,0.174,0.0,0.02,0.0,0.006,0.0,0.0
26,MT,6282.9,24947923.138,0.436,0.018,0.021,0.001,0.0,0.371,0.001,0.139,0.001,0.0,0.011
27,NC,39161.4,129730297.061,0.157,0.002,0.365,0.0,0.332,0.045,0.016,0.004,0.077,0.0,0.002
