month,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1,21.9,14.36,11.42,12.62,26.45,14.2,30.24,14.91,14.18,15.01,12.87,44.96,11.3,10.58,16.04,15.43,12.97,12.68,11.94,31.71,15.87,24.12,17.99,13.08,10.73,13.18,10.73,12.67,9.91,9.35,31.72,16.92,13.53,16.81,23.57,14.31,10.96,12.04,17.99,28.96,13.99,11.25,12.11,14.18,10.66,14.03,19.95,10.48,16.05,13.09,10.28
2,22.86,15.29,11.99,13.1,27.07,14.34,34.32,15.68,14.94,15.93,13.6,44.24,11.6,10.25,17.09,16.11,14.71,12.48,12.84,32.13,16.12,26.36,17.82,13.45,11.57,13.77,11.98,13.08,9.97,10.25,31.03,17.01,14.03,17.04,23.6,14.6,11.56,12.2,18.29,29.09,14.51,11.5,12.61,14.63,10.78,14.4,20.27,10.7,16.21,13.57,10.3
3,23.39,14.65,12.21,13.63,27.15,13.82,33.23,16.04,15.25,14.76,13.57,44.25,11.9,10.09,17.43,16.03,13.97,12.15,11.85,32.39,15.76,29.41,18.06,13.76,11.65,14.01,12.15,12.97,9.72,10.57,30.3,17.17,13.36,17.16,21.18,14.88,11.93,12.17,18.12,28.05,14.26,11.31,12.48,14.46,10.88,14.74,20.38,10.8,16.34,14.2,10.62
4,23.38,14.49,12.34,14.11,29.54,13.56,34.44,15.3,15.49,15.85,13.3,43.18,12.52,10.24,17.86,15.08,13.83,12.61,11.17,32.01,15.92,28.67,18.25,14.54,12.0,14.08,12.28,13.21,10.24,11.3,30.87,17.42,13.75,17.59,19.81,15.02,12.39,12.5,18.36,23.59,14.3,11.79,11.93,14.19,10.85,14.65,20.74,10.96,16.87,14.41,11.21
5,24.86,14.51,12.31,14.3,29.78,14.37,31.32,17.08,16.65,15.22,14.0,42.26,14.18,10.79,17.86,15.12,14.09,12.53,11.69,29.01,16.08,29.26,18.56,15.17,12.46,14.09,12.82,13.22,11.7,11.88,30.67,17.18,13.3,17.43,20.47,15.49,11.83,12.95,18.26,26.92,14.38,12.99,12.34,14.49,10.85,15.27,21.03,11.18,17.33,14.63,11.93
6,24.72,14.63,12.44,14.28,30.09,14.535,28.54,16.54,16.0,15.36,14.62,41.74,14.99,11.78,15.955000000000002,14.725,14.024999999999999,12.795,12.004999999999999,26.15,15.829999999999998,25.924999999999997,18.685000000000002,15.27,14.16,13.05,12.399999999999999,12.9,12.3,11.83,29.78,18.24,13.89,17.39,21.63,16.42,12.63,12.434999999999999,18.38,26.04,14.17,13.19,12.42,14.2,11.45,15.21,21.0,11.21,16.575,14.115,12.184999999999999
7,24.564999999999998,14.705,12.625,13.600000000000001,28.165,14.365,23.095,15.25,14.265,14.46,15.19,42.66,15.34,11.52,15.75,14.75,14.305,12.8,12.52,25.695,15.165,25.46,18.675,15.3,14.440000000000001,12.69,12.405000000000001,12.370000000000001,12.555,12.23,25.55,17.84,14.895,14.920000000000002,22.075,15.344999999999999,12.905000000000001,12.43,17.295,22.674999999999997,13.93,13.15,12.7,13.665,11.615,14.2,20.34,10.79,16.245,13.934999999999999,12.11
8,23.75,15.58,12.62,13.18,27.21,14.85,26.54,14.09,13.36,14.11,16.19,45.55,15.28,10.76,16.98,15.62,14.9,13.51,13.85,26.61,14.3,21.17,17.98,15.15,14.61,12.61,11.57,12.4,12.73,11.75,27.46,17.28,15.09,13.57,21.19,15.08,14.45,11.61,16.48,21.44,14.85,13.05,13.96,13.9,11.43,14.35,20.18,10.39,15.61,13.86,11.89
9,23.08,15.65,12.99,13.27,26.57,15.13,28.71,14.01,14.21,14.58,15.13,45.58,14.26,10.51,17.08,15.47,14.76,13.4,14.1,27.71,14.61,23.26,18.2,15.41,14.13,13.29,11.74,13.23,13.03,12.17,32.31,16.65,15.31,13.79,23.95,15.13,14.35,11.7,17.19,24.38,15.13,13.05,12.82,14.52,11.49,14.82,20.73,10.57,16.3,14.06,11.95
10,23.59,15.18,12.58,13.1,25.02,14.94,25.01,15.48,16.36,14.2,14.3,44.71,13.36,11.24,17.27,17.15,15.09,13.99,14.06,26.29,15.89,23.06,18.18,14.95,12.22,13.43,12.46,13.51,11.73,12.03,30.47,16.39,14.68,15.2,23.27,15.25,14.42,11.91,17.63,24.6,14.67,13.25,13.07,14.71,10.98,14.61,21.14,10.59,16.11,14.4,12.01
11,23.07,14.96,12.19,13.1,26.05,14.66,23.99,15.71,16.22,14.0,13.51,43.8,12.49,10.01,17.31,16.33,14.63,13.81,13.59,28.12,15.42,22.3,17.72,14.05,11.95,13.61,12.27,12.32,10.57,10.74,30.65,16.24,14.11,15.25,23.66,14.79,12.46,11.44,17.49,28.61,14.31,12.05,12.95,14.77,10.67,14.48,20.95,10.32,15.59,13.84,11.07
12,22.12,13.17,11.17,12.56,24.46,14.24,23.5,14.98,14.61,14.17,11.96,44.78,11.2,10.51,16.19,15.6,13.36,12.99,12.28,30.73,15.56,22.52,17.79,13.33,11.04,12.55,11.81,11.85,9.62,9.84,30.92,16.72,13.56,14.97,22.79,14.12,11.23,11.06,17.87,27.5,14.31,11.29,12.29,14.26,10.54,13.94,20.15,10.03,14.87,12.76,10.39
